23,4.6,3.6,1,0.2,Iris-setosa
24,5.1,3.3,1.7,0.5,Iris-setosa
25,4.8,3.4,1.9,0.2,Iris-setosa
26,5,3,1.6,0.2,Iris-setosa
27,5,3.4,1.6,0.4,Iris-setosa
28,5.2,3.5,1.5,0.2,Iris-setosa
29,5.2,3.4,1.4,0.2,Iris-setosa
30,4.7,3.2,1.6,0.2,Iris-setosa
31,4.8,3.1,1.6,0.2,Iris-setosa
32,5.4,3.4,1.5,0.4,Iris-setosa
23,6.3,2.5,4.9,1.5,Iris-versicolor
24,6.1,2.8,4.7,1.2,Iris-versicolor
25,6.4,2.9,4.3,1.3,Iris-versicolor
26,6.6,3,4.4,1.4,Iris-versicolor
27,6.8,2.8,4.8,1.4,Iris-versicolor
28,6.7,3,5,1.7,Iris-versicolor
29,6,2.9,4.5,1.5,Iris-versicolor
30,5.7,2.6,3.5,1,Iris-versicolor
31,5.5,2.4,3.8,1.1,Iris-versicolor
32,5.5,2.4,3.7,1,Iris-versicolor
23,7.7,2.8,6.7,2,Iris-virginica
24,6.3,2.7,4.9,1.8,Iris-virginica
25,6.7,3.3,5.7,2.1,Iris-virginica
26,7.2,3.2,6,1.8,Iris-virginica
27,6.2,2.8,4.8,1.8,Iris-virginica
28,6.1,3,4.9,1.8,Iris-virginica
29,6.4,2.8,5.6,2.1,Iris-virginica
30,7.2,3,5.8,1.6,Iris-virginica
31,7.4,2.8,6.1,1.9,Iris-virginica
32,7.9,3.8,6.4,2,Iris-virginica
